,tweet,prediction
0,united effort defeat invisible china virus many people say patriotic wear,anger
1,congratulations allen great job,happiness
2,catch obama amp biden even mention rest crew spying campaign nothing happens,happiness
3,radical left democrats totally control biden destroy country know unimaginably bad thi,worry
4,flying great state texas amazing watching different,happiness
5,mail voting unless changed courts lead corrupt election nation history riggedelection,worry
6,strong stock market numbers want see dive vote radical left big tax hikes,happiness
7,view general flynn never prosecuted first place judge andrew napolitano,surprise
8,never hear fake news concerning china virus comparison countries we,worry
9,tremendous progress made vaccines therapeutic,happiness
10,looking forward live sports time witness player kneeling national anthem sign grea,sadness
11,thank good reviews comments interview chris wallace may set record,happiness
12,must protect national parks children grandchildren calling house pass great,worry
13,recently watched failed rino tom ridge former head homeland security trying justify sudden love,sadness
14,great things matter dems,happiness
15,john bolton exception hillary far worst offender,worry
16,great maga anything great ratings success,happiness
17,liz cheney upset actively getting great beautiful country ridiculous,happiness
18,deeply saddened loss friend charles evers charles trail blazer politics fearless,sadness
19,spoke highly respected chairman senator informed changing nam,worry
20,great job agreeing build texas expected largest auto plant anywhere the,happiness
21,great jim run honored morning white house presentation presidential medal,happiness
22,interviewed tonight 9 00 i enjoy,happiness
23,welcome back baseball,happiness
24,white house press conference 5 15 i live,happiness
25,suburban housewives america must read article biden destroy neighborhood american,worry
26,obama even endorse biden everyone else primaries even waited long ti,worry
27,democrats stated strongly approve payroll tax cut bad would great work,worry
28,administration closely monitoring hurricane douglas hawaii amp hurricane hanna made landfall,happiness
29,joy wonderful wife loved much warmest condolences,happiness
30,one greats history television regis philbin passed even greater airwaves 88,worry
31,many democrats leaving party calls defund police i,worry
32,democrats house trying undo big win travel ban bill successfully keeps bad dan,worry
33,virtual pennies epi pens went incredibly high jacked prices lower original giv,worry
34,yesterday signed four measures massively reduce prices prescription drugs many cases,worry
35,congratulations jim great beautiful event well deserved,happiness
36,wow win 2020,surprise
37,obama team lowlifes spied campaign got caught open shut case papers released,happiness
38,96 approval rating republican party thank,happiness
39,congratulations,happiness
40,would destroy american cities worse sleepy joe biden puppet left ever markets without,sadness
41,fake news media trying portray portland seattle protesters wonderful sweet innocent peo,happiness
42,make america great,happiness
43,disgusting watch twitter called trending many trends never good one,worry
44,anarchists agitators protestors vandalize damage federal courthouse portland federal buil,worry
45,homeland security federal forces little involved seattle large standby team case,worry
46,rigged election everyone knows,surprise
47,justice,worry
48,people happy washington post political front amazon nobody treated ronal,happiness
49,testing country world far 55 million tests fake news says,worry
50,protesters actually anarchists hate country line innocent mothers scam lame,anger
51,2020 election totally rigged mail voting allowed take place amp everyone knows much,worry
52,strong focus china virus including scheduled meetings vaccines economy much else,worry
53,lamestream media including really checked refusing show really going,worry
54,way place like pennsylvania vote radical left puppet joe biden,happiness
55,washington post running reagan foundation rino paul ryan board fox,happiness
56,trump campaign enthusiasm according many campaign history great country,worry
57,crazy nancy pelosi said made mistake banned people infected china entering january,happiness
58,brett loves wisconsin mississippi minnesota good golfer hits long,happiness
59,week joe biden call arizona city nothing matters however opposition party i,happiness
60,thank jon,happiness
61,sleepy joe biden trojan horse radical left agenda whatever want,happiness
62,plus self help people hate self help smart witty sale,anger
63,great going talented group,happiness
64,vote people crazy 2020,happiness
65,able produce see nasty ads big pharma remember reason,worry
66,big pharma taking television ads trying make case raising prescription drug prices seniors,worry
67,nader calls antifa violence myth anarchists miles tape showing iller,sadness
68,germany pays russia billions dollars year energy supposed protect germany russia,worry
69,check mail voting experiment local news station,happiness
70,new york mail voting disastrous state condition votes many weeks ago missing total mess,sadness
71,reported incorrectly federal government respect portland demanding,worry
72,great texas,happiness
73,stop crime violence anarchists agitators immediately federal government go,sadness
74,federal government brilliant law enforcement homeland go portland one week ago,happiness
75,landed great state texas,happiness
76,air force one flying great state texas landed amazing watching,happiness
77,biden drug prices quadruple many years game finally big pharma,happiness
78,drug companies spending millions dollars advertising lowering drug pric,sadness
79,housing prices go based market crime go rescinded obama biden aff rule enjoy,happiness
80,happy inform people living suburban lifestyle dream longer bothered,worry
81,congress bring fairness big tech done years ago eye,worry
82,reno stead airport big bucks coming way designating 8 million reconstruct,happiness
83,big bucks way 21 1 million designated wilmington international,happiness
84,designating 18 9 million many airports ohio including se,worry
85,great news florida 3 3 million sent airport improvements safety,worry
86,designating 18 77m 7 airports across pennsylvania northeast philadelphia airport,worry
87,texarkana regional airport major grant coming way designating 3 6 million reconstruct,worry
88,great spend time mike singletary going texas one greatest football players ever,happiness
89,administration focused finding treatments coronavirus recovered coronavirus,surprise
90,wall goes illegal crossings go past week built 10 miles wall southern border,sadness
91,going win 2020 election big maga,happiness
92,must know election results night election days months even years later,worry
93,glad able get dishonest lamestream media finally start talking risks democracy,happiness
94,phone amazing wife gloria daughter melanie son vincent express deepest condolences,happiness
95,friend herman cain powerful voice freedom good passed away morning herman,happiness
96,support patio pizza wonderful owner guy caligiuri it james long island great pizza,happiness
97,drug prices soon lowered massively big pharma drug companies advertising like crazy becau,happiness
98,kate brown governor oregon job must clear cases arrest anarchists amp,worry
99,universal mail voting absentee voting good 2020 inaccurate amp fraudulent e,happiness
100,major china virus flare ups many countries fake news touting well,worry
101,mail voting already proving catastrophic disaster even testing areas way dems talk i,worry
102,peggy noonan concast msdnc puppet clue many years never got trump,worry
103,jake trump rally rather successful gathering great sheriffs law enforcement,happiness
104,wrong cases tested far country 60 000 000 tested less the,worry
105,homeland security leaving portland local police complete cleanup anarchists agitators,sadness
106,obama worked harder hillary clinton losing clinton campaign worked worki,worry
107,cases testing lamestream media gold,worry
108,beat obama years ago worked harder crooked hillary,happiness
109,way thank,happiness
110,thrilled back home state florida honored receive endorsement dozens incredible,happiness
111,democrats holding back 1 200 3 400 family four checks ready sent,happiness
112,disappointed blocking temporary extension 600 unemployment benefits,sadness
113,pelosi amp schemer blocked desperately needed unemployment payments terrible especially since full,worry
114,pelosi amp schemer interest making deal good country people want,happiness
115,outstanding man one best ambassadors ever japan running excellent campaign,happiness
